variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-594.75273225,-594.464,3.2317304576647,3.13273379999991,-600.47365,-590.04475,-601.79988,-589.33375
skills[1],1.00000034425,1,0.000101642646309676,0.000103781999999939,0.999832,1.00017,0.999806,1.0002
skills[2],1.30911184275,1.28649,0.215127554684451,0.206096226,0.9877111,1.691516,0.945007295,1.77928675
skills[3],0.919044524,0.910169,0.158179153630503,0.158097051,0.68378075,1.1913705,0.6487731075,1.2604145
skills[4],0.5946821885,0.5863125,0.100402809616463,0.0966314202,0.4437848,0.77067925,0.4267397625,0.815662275
skills[5],0.9631070765,0.950114,0.166598584057712,0.1611593613,0.7113887,1.258058,0.6753032425,1.330893
skills[6],0.6829888465,0.67465,0.1167219400241,0.1140408507,0.5072777,0.88595755,0.4845904075,0.942255075
skills[7],1.432297328,1.41497,0.232450187363728,0.232204812,1.0817775,1.8323585,1.045008075,1.92377825
skills[8],0.9316176485,0.918855,0.156300747011947,0.1525261815,0.6957742,1.211711,0.6627678575,1.27968825
skills[9],1.1301385085,1.1147,0.187767226417353,0.1799038731,0.8501155,1.46735,0.8022745575,1.550589
skills[10],0.8252564695,0.814653,0.137480787753456,0.1353561909,0.6197191,1.066603,0.59278526,1.1200435
skills[11],1.76117736,1.73578,0.278724269980118,0.27027798,1.337665,2.259177,1.289793825,2.37233975
skills[12],0.871348114,0.861382,0.146345297332732,0.1465090494,0.65368315,1.133986,0.62793461,1.18906975
skills[13],0.852667386,0.839592,0.144879391815649,0.1428425796,0.63690935,1.116841,0.6075530275,1.16427575
skills[14],0.7510683475,0.741052,0.130774703259527,0.1258149186,0.55411875,0.98574925,0.5293743075,1.038604
skills[15],0.7359640725,0.7248125,0.125463225351629,0.1244249811,0.5460848,0.9614705,0.5242228075,1.01052425
skills[16],1.0658252345,1.054855,0.175853911715975,0.173293701,0.79926555,1.3767225,0.7700674175,1.43798925
skills[17],1.0360254445,1.023035,0.169353223966101,0.168541968,0.78379815,1.3321865,0.742336325,1.4056925
skills[18],1.1272800955,1.11233,0.189538571550606,0.1851115056,0.8434851,1.4613885,0.81523594,1.548674
skills[19],1.2402336055,1.22377,0.20755450720278,0.201255537,0.9262299,1.6059005,0.883117855,1.697042
skills[20],0.9235402295,0.915646,0.155781051459153,0.1580414535,0.68412475,1.192883,0.6503697725,1.2577855
home_force,0.214873801625,0.211579,0.048848276228813,0.0490347711,0.1397977,0.29889455,0.1294013675,0.31674435
