variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-393.45058175,-393.1335,3.16762204526872,3.06527549999999,-399.10965,-388.8779,-400.42422,-388.234975
skills[1],1.00000260225,1,0.000102908700288632,0.000103782000000021,0.999834,1.00017,0.999804,1.00021
skills[2],1.5123879395,1.492245,0.269907678590256,0.269544093,1.102694,1.991818,1.0606747,2.0961655
skills[3],1.02465633175,1.008965,0.189447343805163,0.1829609943,0.73520205,1.351954,0.7042854575,1.429867
skills[4],1.14412033875,1.128565,0.213729406965545,0.2074372377,0.8137595,1.5147125,0.773171415,1.606992
skills[5],1.39273054025,1.370975,0.260049141709696,0.251263635,0.9976106,1.8605595,0.942815355,1.96854225
skills[6],1.0820736385,1.06914,0.204378272044643,0.202182162,0.77483065,1.4376525,0.7319015975,1.513314
skills[7],1.33956309325,1.32212,0.248842296532523,0.24700116,0.9559596,1.778736,0.9067498175,1.8648425
skills[8],1.127658702,1.112705,0.20627642719854,0.2031984843,0.815707,1.489989,0.774970555,1.5701085
skills[9],1.114277252,1.097655,0.207722994442443,0.205147362,0.80360425,1.46231,0.7611149925,1.5687065
skills[10],1.02544089575,1.012945,0.190729052792944,0.188705328,0.73439495,1.362946,0.69525086,1.43948875
skills[11],1.41044975525,1.390285,0.253845810987146,0.251804784,1.0298495,1.845936,0.975636465,1.94915225
skills[12],1.43423378325,1.41564,0.260055513694854,0.258150312,1.047492,1.893144,0.99210135,2.0067525
skills[13],1.0516237595,1.035715,0.197625784895814,0.188764632,0.75703045,1.4062025,0.7097085675,1.49299125
skills[14],1.14305196025,1.125505,0.21799390078228,0.2139406626,0.81654445,1.5235095,0.7700818175,1.60946275
skills[15],1.04690851675,1.03108,0.197002868706295,0.1910752641,0.7462034,1.4023695,0.7092505275,1.47071575
skills[16],1.6372667025,1.6161,0.291297143387694,0.2861418,1.205133,2.153347,1.13704085,2.262457
skills[17],1.2769255445,1.252775,0.239453895259836,0.234450951,0.92586395,1.696432,0.874461145,1.80272175
skills[18],1.12320047425,1.106815,0.207663496263826,0.2037285138,0.8155856,1.4940315,0.7809269975,1.576262
skills[19],0.8817446745,0.8697065,0.163631452762733,0.1584373077,0.6282155,1.1670945,0.5936351775,1.239078
skills[20],1.75948774,1.73546,0.304537743257861,0.297950709,1.29227,2.308422,1.228994225,2.40125775
