variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-707.52748525,-707.2405,3.21449809788212,3.20538119999997,-713.3503,-702.77585,-714.59477,-702.147725
skills[1],0.999999396,0.999999,9.92812664931201e-05,0.000100816800000101,0.999838,1.00017,0.9998149725,1.0002
skills[2],0.731805768,0.722478,0.116732614329491,0.1130993997,0.5605672,0.9415853,0.5364790675,0.987308775
skills[3],1.418276761,1.4063,0.217413300462339,0.216956271,1.0793445,1.784268,1.03046625,1.8612935
skills[4],1.06758859175,1.053965,0.169528040157128,0.1599102708,0.8116832,1.3642535,0.7760037975,1.42816025
skills[5],1.552633581,1.53918,0.237706337814046,0.235273794,1.19196,1.9679115,1.142423825,2.06617475
skills[6],1.05158316675,1.04086,0.164909013367159,0.161988876,0.7993634,1.341843,0.7629807075,1.40757175
skills[7],1.03362974625,1.024495,0.159122966374035,0.1553357085,0.78739335,1.3155475,0.75468805,1.373762
skills[8],1.12324564125,1.11068,0.177718276726028,0.1721157753,0.85155715,1.43318,0.81812053,1.5010865
skills[9],1.29041334175,1.275355,0.2004044380271,0.191455551,0.99053535,1.644151,0.9460235,1.7314095
skills[10],0.97965448725,0.963014,0.158695965384219,0.1520821428,0.74695425,1.264606,0.715036355,1.32894925
skills[11],1.43417534075,1.418415,0.220503229816058,0.211537368,1.099298,1.8182905,1.055500375,1.9075925
skills[12],0.92423618675,0.9137745,0.146441022729549,0.1443733641,0.7006852,1.1785135,0.668748075,1.2397305
skills[13],1.12769976175,1.115155,0.178880643543862,0.1757763147,0.85174205,1.4349415,0.8176865475,1.52631625
skills[14],0.778893625,0.7693175,0.122388880575006,0.1213700838,0.59416635,0.99560395,0.56446393,1.034462
skills[15],1.21611349825,1.201285,0.18574186445513,0.186266451,0.94105785,1.5463935,0.902878935,1.610312
skills[16],0.86774979225,0.858726,0.136281343562622,0.1322175267,0.66205165,1.1068515,0.634833275,1.1572875
skills[17],1.065469697,1.054865,0.169649399101371,0.1676716818,0.80425125,1.3618125,0.7714108,1.41568125
skills[18],1.04581726875,1.032475,0.168093661762943,0.1587404994,0.7890492,1.343369,0.7559709375,1.40769625
skills[19],0.6683731905,0.6596405,0.106421811243651,0.1045625889,0.50839085,0.85276625,0.48925407,0.896385925
skills[20],1.12461196975,1.11199,0.18002652064596,0.1759942569,0.85416405,1.437403,0.8100750725,1.52377325
home_force,0.1791452432,0.1753705,0.0468705678004566,0.0461296164,0.1080844,0.26016115,0.09792907075,0.2751515
