variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-169.00230875,-168.8055,3.07619645204534,3.13125119999997,-174.47135,-164.43065,-175.449055,-163.731975
skills[1],0.999998537,0.999999,0.000100310267014031,9.63689999999729e-05,0.999834,1.00017,0.999807,1.0002
skills[2],0.77389863,0.74462,0.201942883490982,0.1956787371,0.49492555,1.1286485,0.462239555,1.22927225
skills[3],1.790489295,1.75202,0.412681343532715,0.405809859,1.178366,2.530613,1.095217175,2.68111275
skills[4],1.5289896325,1.492385,0.3730113046513,0.35767725,0.9748835,2.1959465,0.9059808575,2.3264105
skills[5],2.00407509375,1.970495,0.452594100852621,0.444068352,1.339316,2.8130425,1.2512854,3.008813
skills[6],1.13171605175,1.095195,0.294021000683859,0.2924317305,0.7124,1.6736515,0.6689200225,1.800768
skills[7],1.02748275875,0.9931395,0.282158247901566,0.26560779,0.6288392,1.552524,0.5899354725,1.68474275
skills[8],1.6131918835,1.569465,0.39555281461994,0.389486433,1.0386635,2.331957,0.96473365,2.48629675
skills[9],1.40248597825,1.371015,0.347442618352224,0.338722209,0.89247815,2.023478,0.8321528275,2.171303
skills[10],0.9597872255,0.9341935,0.246598431464164,0.2376926559,0.60767275,1.405553,0.56385834,1.508974
skills[11],1.77934517975,1.750395,0.410035921286365,0.41238519,1.1658195,2.4948035,1.090534875,2.65133375
skills[12],0.98776964625,0.953939,0.261231699484793,0.2449559133,0.6180798,1.458383,0.5764084525,1.605609
skills[13],1.5401522895,1.51095,0.381483272661454,0.381413676,0.97998775,2.2314775,0.919830755,2.3924915
skills[14],1.3555840105,1.328775,0.347510271958669,0.346016601,0.85103325,1.9715815,0.79481282,2.09654575
skills[15],1.322755624,1.292755,0.329129926651064,0.319641147,0.841997,1.911941,0.7858113175,2.03831975
skills[16],0.8600360485,0.830957,0.225196626656695,0.2129317533,0.5330459,1.2777035,0.4920021125,1.37212275
skills[17],1.54640707575,1.510855,0.381114964569611,0.383800662,0.98989615,2.232165,0.9068676275,2.38004975
skills[18],1.096362965,1.070295,0.285270504989469,0.2793099792,0.67937105,1.6149055,0.628896945,1.727406
skills[19],0.83726963225,0.8104875,0.225828292351672,0.2196138315,0.52043915,1.254883,0.4813370175,1.36939225
skills[20],1.64492925975,1.61454,0.393541820687097,0.391243314,1.061322,2.3490015,0.996701615,2.5269035
home_force,0.2424228443,0.235386,0.104836493216405,0.1063268829,0.082229035,0.4223538,0.0632313095,0.465166475
