variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-216.60297425,-216.2835,3.17215212913402,3.11790779999999,-222.34175,-212.1087,-223.3561375,-211.42595
skills[1],0.999998916,1,9.96503436610056e-05,0.000102299400000143,0.999834,1.00016,0.999807,1.00019025
skills[2],1.7052011325,1.6744,0.375642599402414,0.369790092,1.1448415,2.37389,1.073488625,2.5343195
skills[3],1.39286503825,1.363265,0.328054510791505,0.324600444,0.9128594,1.990141,0.846951205,2.12817725
skills[4],1.329185226,1.30288,0.30812179491468,0.304192455,0.8730197,1.8753955,0.8228847775,2.014413
skills[5],1.21168303025,1.18327,0.295728460239954,0.2804204466,0.7796384,1.747706,0.718238025,1.87348725
skills[6],1.41886537575,1.381625,0.327881918731323,0.324333576,0.94197625,1.9964595,0.88711303,2.161137
skills[7],1.50573412525,1.47197,0.336068077570032,0.320708619,1.01728,2.1066025,0.9498827825,2.23721975
skills[8],1.7740027755,1.738495,0.384993346516065,0.372028818,1.202277,2.465486,1.12191975,2.62625275
skills[9],1.064403713,1.03342,0.268191689256458,0.2577388905,0.68321695,1.5689645,0.646304745,1.677037
skills[10],1.10333044375,1.070305,0.269029769038117,0.2599183125,0.71807455,1.5945065,0.67206582,1.696191
skills[11],1.353511751,1.315895,0.327346491458802,0.320671554,0.8776585,1.9383685,0.8192995975,2.09607675
skills[12],0.97683303875,0.9522205,0.244983870408172,0.2321833143,0.6322065,1.416773,0.597549805,1.529795
skills[13],1.545852975,1.512155,0.354548081151907,0.348937323,1.0220235,2.1821065,0.951547385,2.33813425
skills[14],1.289182181,1.261475,0.312802961796356,0.297083388,0.83264185,1.845785,0.763662225,1.974524
skills[15],1.76351384175,1.73017,0.374336402793258,0.366305982,1.203324,2.412542,1.13894235,2.57871775
skills[16],1.010862549,0.980685,0.25494833604993,0.2381789487,0.6527887,1.4737705,0.6097903625,1.58910425
skills[17],0.97155172575,0.9385525,0.235077806029652,0.2237703006,0.64187855,1.40834,0.60088113,1.49275175
skills[18],1.92658454675,1.903695,0.401765648885091,0.4010433,1.3187735,2.6246015,1.236704225,2.80500975
skills[19],1.08006817725,1.050035,0.259724309816542,0.248246544,0.7007706,1.549201,0.6656313275,1.6719785
skills[20],1.04576721475,1.017885,0.252478085913154,0.2369987991,0.6814916,1.5039855,0.63178077,1.622514
home_force,0.17876010945925,0.170638,0.0896519893516133,0.0902651358,0.04381428,0.3398924,0.02719746125,0.371613425
