variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-221.170465,-220.833,3.26159548780294,3.11271869999997,-227.196,-216.55465,-228.5130825,-215.793925
skills[1],1.0000016525,1,0.000103266157179223,0.000103782000000021,0.999828,1.00017,0.9997999725,1.0002
skills[2],1.5922130965,1.5628,0.365607479429534,0.359760303,1.0591495,2.230982,0.9717393925,2.403195
skills[3],1.24709442075,1.215465,0.28798043047556,0.28043379,0.83958,1.7759875,0.781096785,1.9030455
skills[4],1.123889177,1.09898,0.264554673190784,0.2527744044,0.7441765,1.588653,0.6949603625,1.71845975
skills[5],1.74695942075,1.705535,0.390634134420181,0.375750144,1.1624935,2.4439255,1.086713675,2.60056375
skills[6],1.733989423,1.703485,0.383677262606911,0.376409901,1.16867,2.423583,1.0985646,2.57591625
skills[7],1.54410687225,1.50506,0.355809766367989,0.347691939,1.026085,2.2028045,0.962998225,2.33865375
skills[8],1.210088419,1.179815,0.281441841783375,0.2676597084,0.80654895,1.722642,0.752602095,1.85461375
skills[9],1.3090100485,1.279675,0.30818034505482,0.308818167,0.85719345,1.8608665,0.7952997325,1.994983
skills[10],1.2301601205,1.203065,0.283347979434888,0.26953668,0.8232226,1.751984,0.7767822875,1.86281075
skills[11],1.5039959125,1.48306,0.344114502996141,0.33558651,0.98481445,2.1200025,0.926165985,2.2742905
skills[12],1.30813887775,1.277715,0.313930297636132,0.303451155,0.8454181,1.877526,0.7864845625,1.99678525
skills[13],1.32890479725,1.29996,0.312115838594055,0.308588364,0.87331665,1.890485,0.802005505,2.017778
skills[14],1.18265248675,1.157905,0.282371543022389,0.2745508332,0.77421585,1.6752065,0.730489495,1.80060825
skills[15],1.17303376225,1.14563,0.272854707822652,0.262724133,0.77582155,1.6731285,0.727693425,1.79666225
skills[16],1.826595617,1.793245,0.394772449522413,0.387314424,1.228545,2.5403305,1.1592381,2.69484675
skills[17],1.48060772225,1.444575,0.33916509371702,0.332784396,0.9789117,2.091298,0.9146107,2.23089225
skills[18],1.43019763775,1.39091,0.335783954650594,0.319774581,0.94407225,2.019623,0.8758195525,2.19047275
skills[19],1.068868524,1.04152,0.256399957670605,0.2480352735,0.6993123,1.5210055,0.6542237925,1.6495835
skills[20],1.6549617165,1.619995,0.380989843678029,0.360738819,1.083072,2.33637,1.003344225,2.51380675
home_force,0.215300398,0.209421,0.100354778274028,0.1028286882,0.05988315,0.3881238,0.03804579325,0.42153955
