variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-220.07971225,-219.7975,3.05192001154833,2.9340654,-225.6261,-215.60665,-227.076055,-215.0879
skills[1],1.00000120975,1,9.88062494161034e-05,0.000103781999999857,0.999835,1.00016,0.999808,1.00019
skills[2],1.56709209925,1.5349,0.336983107551094,0.325030398,1.0557185,2.1622045,0.988400025,2.32199825
skills[3],1.23093093525,1.1989,0.272190627152119,0.263391303,0.83631075,1.7170685,0.7933857275,1.827093
skills[4],1.1158568105,1.089805,0.253093145464539,0.24885441,0.7551153,1.5671565,0.7097022975,1.67048325
skills[5],1.6712626925,1.6398,0.360894237330555,0.356661669,1.1402945,2.2934495,1.077276625,2.4645055
skills[6],1.6700482475,1.638325,0.360342221125766,0.346869096,1.1337595,2.313941,1.07834855,2.462553
skills[7],1.53945010775,1.50267,0.33288120897961,0.325141593,1.051761,2.1445055,0.9876788625,2.2679395
skills[8],1.19489199,1.167895,0.280145872499236,0.2779875,0.7881657,1.704468,0.74682681,1.82419525
skills[9],1.31407776375,1.287515,0.310092534235774,0.296082633,0.86425095,1.8606635,0.806744175,1.98970375
skills[10],1.203512019,1.177685,0.273177106218862,0.260648493,0.8040464,1.695353,0.74841131,1.79986975
skills[11],1.4714753325,1.44033,0.316641802612456,0.309967182,1.003232,2.0477985,0.94167169,2.159008
skills[12],1.32238024025,1.301635,0.294309618333196,0.284903829,0.8880989,1.8559555,0.8338188025,1.97474525
skills[13],1.300263668,1.26397,0.301162955634159,0.293903211,0.8645323,1.8405795,0.8151812325,1.977988
skills[14],1.18971475275,1.16057,0.271751085358339,0.2614394601,0.8007908,1.680446,0.7510437025,1.792274
skills[15],1.14727035925,1.1186,0.259770522860838,0.2538908022,0.7690069,1.614053,0.7311442875,1.7307735
skills[16],1.79254784375,1.752285,0.382794922168015,0.367870125,1.231867,2.4820865,1.1501459,2.637515
skills[17],1.45086472425,1.42069,0.319909570960463,0.310552809,0.97625575,2.024754,0.9217108925,2.1557005
skills[18],1.41545680275,1.38607,0.323501346377488,0.318099243,0.93862045,1.9909345,0.89068127,2.156096
skills[19],1.0657275645,1.03671,0.241000310805962,0.2363471964,0.71256245,1.5003785,0.6720747225,1.61374525
skills[20],1.64898683525,1.615885,0.353858737754362,0.337009806,1.107515,2.2869165,1.03998685,2.42307075
