year,championship,model_name,num_rounds,brier_score,ranked_probability_score,log_score
2019,brazil,bradley_terry_3,5,0.6770197333751515,0.2378889272595455,1.1160611998212162
2019,brazil,bradley_terry_3,10,0.6369746081964285,0.2180738668842856,1.0570209308449197
2019,brazil,bradley_terry_3,15,0.6303271648130434,0.2197204047002176,1.050741661473306
2019,brazil,bradley_terry_3,20,0.6238021208288889,0.2141312513211112,1.041001501042496
2019,brazil,bradley_terry_3,19,0.6151746809536842,0.2122528903992104,1.0284841734913348
2020,brazil,bradley_terry_3,5,0.670984774170303,0.2340270112722727,1.107232010324973
2020,brazil,bradley_terry_3,10,0.6512708474407143,0.2248651512180356,1.0785665369113349
2020,brazil,bradley_terry_3,15,0.6645941513539131,0.2326286121917392,1.0981385367412473
2020,brazil,bradley_terry_3,20,0.6518662102699999,0.2293901789408333,1.081166673170539
2020,brazil,bradley_terry_3,19,0.65442966562,0.2295775896328948,1.083871594337074
2021,brazil,bradley_terry_3,5,0.6821146089363637,0.2372613247133332,1.1277377356653335
2021,brazil,bradley_terry_3,10,0.677435483515,0.2359062521099999,1.1221517948120363
2021,brazil,bradley_terry_3,15,0.6613290277669565,0.2285684842278262,1.0962537290925027
2021,brazil,bradley_terry_3,20,0.6388913390255556,0.2208226882894446,1.061325780570081
2021,brazil,bradley_terry_3,19,0.6466272861863157,0.2247482125513158,1.0760126892982689
2022,brazil,bradley_terry_3,5,0.6827557153193939,0.2402949399177274,1.1255449537574438
2022,brazil,bradley_terry_3,10,0.6540264131685715,0.2270950408057143,1.0816096902055348
2022,brazil,bradley_terry_3,15,0.6441481381069566,0.2234926086663045,1.0657581776570768
2022,brazil,bradley_terry_3,20,0.6350832334966666,0.217906124081389,1.0522140543998133
2022,brazil,bradley_terry_3,19,0.6371761038842105,0.2207480097028946,1.0571599550817388
2023,brazil,bradley_terry_3,5,0.6630434260769696,0.233853235676818,1.0931120850454918
2023,brazil,bradley_terry_3,10,0.6421261114407143,0.226414288272857,1.0654596930485158
2023,brazil,bradley_terry_3,15,0.664583677881739,0.2363015924641305,1.097252164093334
2023,brazil,bradley_terry_3,20,0.6642860739944444,0.2389045194869441,1.0971879334730958
2023,brazil,bradley_terry_3,19,0.6662603939747368,0.2392089948168423,1.1006020973133677
2024,brazil,bradley_terry_3,5,0.6763643213315151,0.2401009636416667,1.11778687764902
2024,brazil,bradley_terry_3,10,0.6716906785614286,0.2395251389076785,1.1127285159170055
2024,brazil,bradley_terry_3,15,0.6767112205243478,0.2418319405219567,1.1244691231696051
2024,brazil,bradley_terry_3,20,0.6700160429933335,0.2335823018108332,1.106486801221607
2024,brazil,bradley_terry_3,19,0.6659089100473684,0.2338971151252633,1.102204164342398
2019,brazil,bradley_terry_4,5,0.6768745887072727,0.2384242877536361,1.1177404334563157
2019,brazil,bradley_terry_4,10,0.637549558322857,0.2191521054033928,1.0574890657759672
2019,brazil,bradley_terry_4,15,0.6284532307104347,0.2189560890958693,1.0498372176935242
2019,brazil,bradley_terry_4,20,0.6201967486455555,0.2128252299241665,1.036857742064087
2019,brazil,bradley_terry_4,19,0.6141315093568421,0.2119317169052631,1.02792077191901
2020,brazil,bradley_terry_4,5,0.6738476229224243,0.2353200177159091,1.1119963145743734
2020,brazil,bradley_terry_4,10,0.6506914930535714,0.2245891955694644,1.077822363127372
2020,brazil,bradley_terry_4,15,0.6681095788365216,0.2338446182599998,1.1047051843785338
2020,brazil,bradley_terry_4,20,0.6569507673366667,0.2313373543080555,1.0901164898263294
2020,brazil,bradley_terry_4,19,0.6575652605347369,0.2307016058594735,1.0897240433044466
2021,brazil,bradley_terry_4,5,0.6836476858133332,0.2378350080016667,1.1305237947359164
2021,brazil,bradley_terry_4,10,0.6762557989071429,0.2352783468546426,1.1205423217426167
2021,brazil,bradley_terry_4,15,0.6624370154799999,0.2290107456334783,1.09847933098269
2021,brazil,bradley_terry_4,20,0.6395266907666667,0.2210612177222221,1.0627552729598173
2021,brazil,bradley_terry_4,19,0.6471573645621053,0.2248904996063157,1.0772248795961004
2022,brazil,bradley_terry_4,5,0.6829834734151514,0.2404719054265153,1.1267508185861093
2022,brazil,bradley_terry_4,10,0.6539499394014285,0.2268331954582144,1.081941773846512
2022,brazil,bradley_terry_4,15,0.6447094511008696,0.2233515657967391,1.0668201176234842
2022,brazil,bradley_terry_4,20,0.6346445669288889,0.2176051115908332,1.0517831696768556
2022,brazil,bradley_terry_4,19,0.6373160870336843,0.2204094255494738,1.0578597448458475
2023,brazil,bradley_terry_4,5,0.6649536265224243,0.2351339634715152,1.0965391932499386
2023,brazil,bradley_terry_4,10,0.6424413244314287,0.2262262198491073,1.0670883294837112
2023,brazil,bradley_terry_4,15,0.6644971525556522,0.2359077899167392,1.0977122670466344
2023,brazil,bradley_terry_4,20,0.6662583716622222,0.2394482058863887,1.1017644377903533
2023,brazil,bradley_terry_4,19,0.6679805737663157,0.2395884526539475,1.1042957327295646
2024,brazil,bradley_terry_4,5,0.6761729767,0.2395828532784852,1.1190693527005775
2024,brazil,bradley_terry_4,10,0.6731471250971429,0.2402550942723216,1.1165056722481297
2024,brazil,bradley_terry_4,15,0.680746427473913,0.2436744791667392,1.1336973714663705
2024,brazil,bradley_terry_4,20,0.6710665941544445,0.2342382263841668,1.1093065463552076
2024,brazil,bradley_terry_4,19,0.668226432225263,0.2351209191807893,1.1077980783555614
2019,brazil,poisson_1,5,0.6558891985466667,0.2283061334187877,1.0844166772519606
2019,brazil,poisson_1,10,0.6280952259885715,0.2141656654717856,1.0440904914375368
